name,word,count
divide,divide,12
into,into,12
while,while,4
down,down,6
as,as,3
through,through,2
at,at,12
in,in,95
follow,follow,4
wide~~~,wide~~~,1
out,out,3
from,from,61
for,for,11
though,though,1
near,near,4
till,till,1
outside,outside,40
above,above,12
between,between,13
if,if,7
across,across,1
over,over,2
towards,towards,5
around,around,1
that,that,6
aww,aww,1
under,under,5
underneath,underneath,1
along,along,9
with,with,6
than,than,5
after,after,2
on,on,74
about,about,60
off,off,3
like,like,3
of,of,267
inside,inside,47
wow~~~,wow~~~,1
up,up,5
below,below,18
so,so,1
toward,toward,9
onto,onto,2
